iter	MAE	RMSE
915	0.6061938951	0.7916864298
920	0.6061140138	0.7916301169
925	0.6060496673	0.7915584354
930	0.6060089091	0.7915261043
935	0.6059514306	0.7914647955
940	0.605899103	0.7914126509
945	0.6058676248	0.7913626209
950	0.6057894196	0.791311322
955	0.6057303876	0.7912572815
960	0.6056673493	0.7911881239
965	0.6055841976	0.7911080827
970	0.6055075051	0.7910538991
975	0.6054683412	0.7910086011
980	0.6054189162	0.7909680297
985	0.605368183	0.7909228303
990	0.6052470121	0.7907938851
995	0.6051704422	0.7907182761
1000	0.6050796458	0.7906658237
1005	0.6050130917	0.7905659504
1010	0.6049573302	0.7905039725
1015	0.6049014869	0.7904557985
1020	0.6048437631	0.7904333784
1025	0.6047868978	0.7904037167
1030	0.6047205072	0.7903205958
1035	0.6046588997	0.7902655047
1040	0.6046010942	0.7902130999
1045	0.6045359709	0.790147395
1050	0.6044594828	0.7900950082
1055	0.6043947275	0.7900230839
1060	0.604338966	0.7899504286
1065	0.6042577356	0.7898815965
1070	0.6041841909	0.7897887154
1075	0.6041431874	0.7897357872
1080	0.6040231203	0.7896013673
1085	0.6039762299	0.7895479087
1090	0.6039362075	0.7895054758
1095	0.6038851064	0.7894580177
1100	0.6038586974	0.7894132237
1105	0.6038171215	0.7893716381
1110	0.6037412466	0.7893235246
1115	0.603725671	0.7893074688
1120	0.6036941109	0.7892509084
1125	0.6035635783	0.7891203172
1130	0.6035161973	0.7890804518
1135	0.6034660774	0.7890487445
1140	0.6033644475	0.7889622424
1145	0.6033191924	0.7889055277
1150	0.6032473647	0.7888141901
1155	0.60319749	0.7887827313
1160	0.6031466342	0.7887190582
1165	0.6031060394	0.7886754922
1170	0.6030188405	0.7886107997
1175	0.6029995856	0.7885958958
1180	0.6029147578	0.7885037187
1185	0.6028789461	0.7884817357
1190	0.6028571158	0.7884520264
1195	0.6028352036	0.7884233013
1200	0.6028158669	0.7883939787
1205	0.6027496808	0.788333282
1210	0.602728341	0.7883011557
